test_name,operation,input_file,status,confidence_score,findings,issues,reviewer
smoke_format_keyframes,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct: frame_number, timestamp, hash, sharpness, thumbnail_paths all present. hash=0 and sharpness=0.0 intentional (fast mode).",None,N=0
smoke_format_keyframes;action-recognition,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;emotion-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;face-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;image-quality-assessment,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;object-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;ocr,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;pose-estimation,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;shot-classification,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;smart-thumbnail,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_keyframes;vision-embeddings,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;action-recognition,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;emotion-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;face-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;image-quality-assessment,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;object-detection,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;ocr,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;pose-estimation,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;shot-classification,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;smart-thumbnail,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_plugin_keyframes;vision-embeddings,keyframes,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,1.00,"Single keyframe extracted at frame 0, timestamp 0.0s. Structure correct. hash=0 and sharpness=0.0 as expected.",None,N=0
smoke_format_object-detection,object-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,0.95,"Detected 1 dog with confidence 0.835. Bbox (x=0.25, y=0.08, w=0.58, h=0.79) covers center-right of frame, plausible dog position. class_id=16 (COCO dog class). Confidence reasonable for clear detection.",None,N=0
smoke_format_keyframes;object-detection,object-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,0.95,"Identical to smoke_format_object-detection: 1 dog, confidence 0.835, same bbox. Consistent detection across tests.",None,N=0
smoke_plugin_object-detection,object-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,0.95,"Identical to smoke_format_object-detection: 1 dog, confidence 0.835, same bbox. Consistent detection across tests.",None,N=0
smoke_plugin_keyframes;object-detection,object-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,CORRECT,0.95,"Identical to smoke_format_object-detection: 1 dog, confidence 0.835, same bbox. Consistent detection across tests.",None,N=0
smoke_format_face-detection,face-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,SUSPICIOUS,0.40,"67 detections. CONCERNS: (1) 10 detections with confidence=1.0 for tiny boxes (3-5% height) along top edge (y1=0), evenly spaced x=0.0 to 0.28. (2) 1 large bbox (x=0.479-0.631, y=0.092-0.976) covering most of frame. (3) Many detections clustered in narrow vertical strip (x≈0.86) with identical confidence 0.791015625. (4) Pattern suggests false positives on frame edges or UI elements. (5) 67 faces in single frame is implausible without crowd scene.","Possible false positives. Cannot verify without viewing input frame. Detector may be triggering on non-face patterns (edges, compression artifacts, UI elements). Recommend manual inspection of input frame.",N=0
smoke_format_keyframes;face-detection,face-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,SUSPICIOUS,0.40,"Identical to smoke_format_face-detection: 67 detections with same suspicious patterns. Same concerns apply.",Same as smoke_format_face-detection,N=0
smoke_plugin_face-detection,face-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,SUSPICIOUS,0.40,"Identical to smoke_format_face-detection: 67 detections with same suspicious patterns. Same concerns apply.",Same as smoke_format_face-detection,N=0
smoke_plugin_keyframes;face-detection,face-detection,test_edge_cases/video_hevc_h265_modern_codec__compatibility.mp4,SUSPICIOUS,0.40,"Identical to smoke_format_face-detection: 67 detections with same suspicious patterns. Same concerns apply.",Same as smoke_format_face-detection,N=0
