test_name,operation,input_file,status,confidence,findings
"jpg_face_detection","face-detection","test_files_wikimedia/jpg/object-detection/01_0butterfly1_up-08316.jpg","PARSE_ERROR","0.0","Parse error "
"png_face_detection","face-detection","test_files_wikimedia/png/emotion-detection/02_123inkt_logo_transparent_bg_small.png","PARSE_ERROR","0.0","Parse error "
"webp_face_detection","face-detection","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","PARSE_ERROR","0.0","Parse error "
"bmp_face_detection","face-detection","test_files_wikimedia/bmp/emotion-detection/01_bmp_24bit.bmp","ERROR","0.0","Traceback (most recent call last):   File ""/Users/ayates/video_audio_extracts/scripts/ai_verify_outputs_openai.py"", line 176, in <module>     main()   File ""/Users/ayates/video_audio_extracts/scrip"
"heic_face_detection","face-detection","test_edge_cases/image_iphone_photo.heic","ERROR","0.0","Binary execution failed"
"jpg_object_detection","object-detection","test_files_wikimedia/jpg/object-detection/01_0butterfly1_up-08316.jpg","PARSE_ERROR","0.0","Parse error "
"png_object_detection","object-detection","test_files_wikimedia/png/emotion-detection/02_123inkt_logo_transparent_bg_small.png","PARSE_ERROR","0.0","Parse error "
"webp_object_detection","object-detection","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","PARSE_ERROR","0.0","Parse error "
"bmp_object_detection","object-detection","test_files_wikimedia/bmp/emotion-detection/01_bmp_24bit.bmp","ERROR","0.0","Traceback (most recent call last):   File ""/Users/ayates/video_audio_extracts/scripts/ai_verify_outputs_openai.py"", line 176, in <module>     main()   File ""/Users/ayates/video_audio_extracts/scrip"
"heic_object_detection","object-detection","test_edge_cases/image_iphone_photo.heic","ERROR","0.0","Binary execution failed"
"jpg_ocr","ocr","test_files_wikimedia/jpg/object-detection/01_0butterfly1_up-08316.jpg","PARSE_ERROR","0.0","Parse error "
"png_ocr","ocr","test_files_wikimedia/png/emotion-detection/02_123inkt_logo_transparent_bg_small.png","PARSE_ERROR","0.0","Parse error "
"webp_ocr","ocr","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","PARSE_ERROR","0.0","Parse error "
"bmp_ocr","ocr","test_files_wikimedia/bmp/emotion-detection/01_bmp_24bit.bmp","ERROR","0.0","Traceback (most recent call last):   File ""/Users/ayates/video_audio_extracts/scripts/ai_verify_outputs_openai.py"", line 176, in <module>     main()   File ""/Users/ayates/video_audio_extracts/scrip"
"heic_ocr","ocr","test_edge_cases/image_iphone_photo.heic","ERROR","0.0","Binary execution failed"
"jpg_pose","pose-estimation","test_files_wikimedia/jpg/object-detection/01_0butterfly1_up-08316.jpg","PARSE_ERROR","0.0","Parse error "
"png_pose","pose-estimation","test_files_wikimedia/png/emotion-detection/02_123inkt_logo_transparent_bg_small.png","PARSE_ERROR","0.0","Parse error "
"webp_pose","pose-estimation","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","PARSE_ERROR","0.0","Parse error "
"bmp_pose","pose-estimation","test_files_wikimedia/bmp/emotion-detection/01_bmp_24bit.bmp","ERROR","0.0","Traceback (most recent call last):   File ""/Users/ayates/video_audio_extracts/scripts/ai_verify_outputs_openai.py"", line 176, in <module>     main()   File ""/Users/ayates/video_audio_extracts/scrip"
"heic_pose","pose-estimation","test_edge_cases/image_iphone_photo.heic","ERROR","0.0","Binary execution failed"
"jpg_emotion","emotion-detection","test_files_wikimedia/jpg/object-detection/01_0butterfly1_up-08316.jpg","ERROR","0.0","Binary execution failed"
"png_emotion","emotion-detection","test_files_wikimedia/png/emotion-detection/02_123inkt_logo_transparent_bg_small.png","ERROR","0.0","Binary execution failed"
"webp_emotion","emotion-detection","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","ERROR","0.0","Binary execution failed"
"bmp_emotion","emotion-detection","test_files_wikimedia/bmp/emotion-detection/01_bmp_24bit.bmp","ERROR","0.0","Binary execution failed"
"heic_emotion","emotion-detection","test_edge_cases/image_iphone_photo.heic","ERROR","0.0","Binary execution failed"
"mp3_transcription","transcription","test_files_wikimedia/mp3/transcription/02_Carla_Scaletti_on_natural_sounds_and_physical_modeling_(1999).mp3","PARSE_ERROR","0.0","Parse error "
"m4a_transcription","transcription","test_files_wikimedia/m4a/transcription/zoom_audio_sept18.m4a","PARSE_ERROR","0.0","Parse error "
"ogg_transcription","transcription","test_edge_cases/format_test_ogg.ogg","PARSE_ERROR","0.0","Parse error "
"flac_transcription","transcription","test_files_wikimedia/flac/transcription/04_Aina_zilizo_hatarini.flac.flac","PARSE_ERROR","0.0","Parse error "
"wav_transcription","transcription","test_files_wikimedia/wav/audio-enhancement-metadata/03_LL-Q150_(fra)-WikiLucas00-audio.wav","PARSE_ERROR","0.0","Parse error "
