test_name,operation,input_file,status,confidence,findings
"jpg_face_detection_1","face-detection","test_files_wikimedia/jpg/face-detection/06_2023-06-20_Vills_Foscari_16.jpg","ERROR","0.0"," "
"jpg_face_detection_2","face-detection","test_files_wikimedia/jpg/face-detection/09_Alexey_Akindinov._Boy_and_Crystal._1997.jpg","ERROR","0.0"," "
"jpg_object_detection_3","object-detection","test_files_wikimedia/jpg/object-detection/01_"Amelia"_(Homage_to_Amelia_Earhart)_by_Mary_Curtis_Ratcliff.jpg","ERROR","0.0"," "
"jpg_object_detection_4","object-detection","test_files_wikimedia/jpg/object-detection/04_150229-ColourwithStorage-Scene1_output.jpg","ERROR","0.0"," "
"jpg_ocr_5","ocr","test_files_wikimedia/jpg/ocr/01_"Amelia"_(Homage_to_Amelia_Earhart)_by_Mary_Curtis_Ratcliff.jpg","ERROR","0.0"," "
"jpg_ocr_6","ocr","test_files_wikimedia/jpg/ocr/09_Israeli_postal_card_50s.jpg","ERROR","0.0"," "
"jpg_emotion_detection_7","emotion-detection","test_files_wikimedia/jpg/emotion-detection/01_"Amelia"_(Homage_to_Amelia_Earhart)_by_Mary_Curtis_Ratcliff.jpg","ERROR","0.0","Binary execution failed"
"jpg_emotion_detection_8","emotion-detection","test_files_wikimedia/jpg/emotion-detection/04_Дерево_в_городе_Валуйки.jpg","ERROR","0.0","Binary execution failed"
"jpg_pose_estimation_9","pose-estimation","test_files_wikimedia/jpg/pose-estimation/01_"Amelia"_(Homage_to_Amelia_Earhart)_by_Mary_Curtis_Ratcliff.jpg","ERROR","0.0"," "
"jpg_pose_estimation_10","pose-estimation","test_files_wikimedia/jpg/pose-estimation/10_Australian_Shepherd_red_merle_portrait_Canon_EOS_700D_Pentacon_200mm_f4.jpg","ERROR","0.0"," "
"png_face_detection_11","face-detection","test_files_wikimedia/png/face-detection/01_'Aside_4.'_-_small_abstract_painting_sketch_on_paper,_made_in_2016_in_watercolor_by_Dutch_artist_Fons_Heijnsbroek.png","ERROR","0.0"," "
"png_face_detection_12","face-detection","test_files_wikimedia/png/face-detection/05_A_setiset_with_duplicated_piece.png","ERROR","0.0"," "
"png_object_detection_13","object-detection","test_files_wikimedia/png/object-detection/01_'Aside_4.'_-_small_abstract_painting_sketch_on_paper,_made_in_2016_in_watercolor_by_Dutch_artist_Fons_Heijnsbroek.png","ERROR","0.0"," "
"png_object_detection_14","object-detection","test_files_wikimedia/png/object-detection/05_A_setiset_with_duplicated_piece.png","ERROR","0.0"," "
"png_ocr_15","ocr","test_files_wikimedia/png/ocr/01_'Aside_4.'_-_small_abstract_painting_sketch_on_paper,_made_in_2016_in_watercolor_by_Dutch_artist_Fons_Heijnsbroek.png","ERROR","0.0"," "
"png_ocr_16","ocr","test_files_wikimedia/png/ocr/05_A_setiset_with_duplicated_piece.png","ERROR","0.0"," "
"png_emotion_detection_17","emotion-detection","test_files_wikimedia/png/emotion-detection/01_'Aside_4.'_-_small_abstract_painting_sketch_on_paper,_made_in_2016_in_watercolor_by_Dutch_artist_Fons_Heijnsbroek.png","ERROR","0.0","Binary execution failed"
"png_emotion_detection_18","emotion-detection","test_files_wikimedia/png/emotion-detection/05_A_setiset_with_duplicated_piece.png","ERROR","0.0","Binary execution failed"
"png_pose_estimation_19","pose-estimation","test_files_wikimedia/png/pose-estimation/01_'Aside_4.'_-_small_abstract_painting_sketch_on_paper,_made_in_2016_in_watercolor_by_Dutch_artist_Fons_Heijnsbroek.png","ERROR","0.0"," "
"png_pose_estimation_20","pose-estimation","test_files_wikimedia/png/pose-estimation/05_A_setiset_with_duplicated_piece.png","ERROR","0.0"," "
"webp_object_detection_21","object-detection","test_files_wikimedia/webp/object-detection/02_webp_lossy.webp","ERROR","0.0"," "
"webp_object_detection_22","object-detection","test_files_wikimedia/webp/object-detection/05_webp_lossy.webp","ERROR","0.0"," "
"webp_ocr_23","ocr","test_files_wikimedia/webp/ocr/01_webp_lossy.webp","ERROR","0.0"," "
"webp_emotion_detection_24","emotion-detection","test_files_wikimedia/webp/emotion-detection/01_webp_lossy.webp","ERROR","0.0","Binary execution failed"
"mp3_transcription_25","transcription","test_files_wikimedia/mp3/transcription/02_Carla_Scaletti_on_natural_sounds_and_physical_modeling_(1999).mp3","ERROR","0.0"," "
"mp3_transcription_26","transcription","test_files_wikimedia/mp3/transcription/file_example_MP3_1MG.mp3","ERROR","0.0","Binary execution failed"
"wav_transcription_27","transcription","test_files_wikimedia/wav/transcription/03_LL-Q150_(fra)-WikiLucas00-audio.wav","ERROR","0.0"," "
"wav_transcription_28","transcription","test_files_wikimedia/wav/transcription/01_01a_rodzaje_sygnalow_alarmowych.wav","ERROR","0.0"," "
"wav_transcription_29","transcription","test_files_wikimedia/wav/transcription/02_03a_rodzaje_sygnalow_alarmowych.wav","ERROR","0.0"," "
